Title, Price ,Village,Kaza,Summary,Area,Furnished?,Floor Number,Details,Website
CASH DEAL | Luxurious duplex for sale in Baabdat,"$200,000 ",Baabdat, Metn,Bedroom(s): 2 | Bathroom(s): 5,240 SQM,Unfurnished,No Data,"This property contains: Built in Wardrobes, Covered Parking, Maids Room",https://olx.com.lb/ad/cash-deal-luxurious-duplex-for-sale-in-baabdat-ID109958800.html
Hot Catch! Biyada 250 sqm for 190k!,"$190,000 ",Biyada, Metn,Bedroom(s): 3 | Bathroom(s): 4,250 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/hot-catch-biyada-250-sqm-for-220k-ID114826396.html
210 m2 Apartment for Sale in Majdelyoun - ??? ????? ??? ??????? ??? ??,"$165,000 ",Majdelyoun, Saida,Bedroom(s): 3 | Bathroom(s): 3,210 SQM,Unfurnished,1,"This property contains: Covered Parking, Maids Room",https://olx.com.lb/ad/210-m2-apartment-for-sale-in-majdelyoun-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A3%D9%88%D9%84-%D9%85%D8%AC%D8%AF%D9%84%D9%8A%D9%88%D9%86-%D9%A2%D9%A1%D9%A0-%D9%85%D9%85-ID114523933.html
FULLY FURNISHED 110Sq. FOR SALE In DIK EL MEHDI!??? ????? ?? ??? ??????,"$110,000 ",Dik El Mehdi, Metn,Bedroom(s): 2 | Bathroom(s): 2,110 SQM,No Data,No Data,"This property contains: Covered Parking, Pets Allowed",https://olx.com.lb/ad/fully-furnished-110sq-for-sale-in-dik-el-mehdi%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%AF%D9%8A%D9%83-%D8%A7%D9%84%D9%85%D8%AD%D8%AF%D9%8A-ID114907762.html
Apartment for sale / ??? ?????? ?????,"$55,000 ",Zebdine, Nabatieh,Bedroom(s): 2 | Bathroom(s): 2,120 SQM,Unfurnished,2,"This property contains: Balcony, Built in Kitchen Appliances, Built in Wardrobes, Central A/C & heating, Covered Parking, Private Garden",https://olx.com.lb/ad/apartment-for-sale-%D8%B4%D9%82%D9%82-%D8%A8%D8%A7%D8%B3%D8%B9%D8%A7%D8%B1-%D9%85%D8%BA%D8%B1%D9%8A%D8%A9-ID114893144.html
Apartment for sale in Turkey - Istanbul - ????? - ??????? -,"$2,422,000 ",Istanbul, Turkey,Bedroom(s): 3 | Bathroom(s): 2,164 SQM,Unfurnished,1,No Data,https://olx.com.lb/ad/apartment-for-sale-in-turkey-istanbul-%D8%AA%D8%B1%D9%83%D9%8A%D8%A7-%D8%A7%D8%B3%D8%B7%D9%86%D8%A8%D9%88%D9%84-ID114349956.html
Apartment for sale in Turkey - Istanbul -  ????? - ??????? -,"$1,905,000 ",Istanbul, Turkey,Bedroom(s): 4 | Bathroom(s): 2,351 SQM,Unfurnished,1,No Data,https://olx.com.lb/ad/apartment-for-sale-in-turkey-istanbul-%D8%AA%D8%B1%D9%83%D9%8A%D8%A7-%D8%A7%D8%B3%D8%B7%D9%86%D8%A8%D9%88%D9%84-ID114348207.html
Apartment for sale in Turkey - Istanbul -  ????? - ??????? -,"$2,161,000 ",Istanbul, Turkey,Bedroom(s): 3 | Bathroom(s): 2,360 SQM,Unfurnished,1,No Data,https://olx.com.lb/ad/apartment-for-sale-in-turkey-istanbul-%D8%AA%D8%B1%D9%83%D9%8A%D8%A7-%D8%A7%D8%B3%D8%B7%D9%86%D8%A8%D9%88%D9%84-ID114348186.html
Apartment for sale in Turkey - Istanbul -  ????? - ??????? -,"$1,241,000 ",Istanbul, Turkey,Bedroom(s): 2 | Bathroom(s): 1,241 SQM,Unfurnished,1,No Data,https://olx.com.lb/ad/apartment-for-sale-in-turkey-istanbul-%D8%AA%D8%B1%D9%83%D9%8A%D8%A7-%D8%A7%D8%B3%D8%B7%D9%86%D8%A8%D9%88%D9%84-ID114348160.html
Apartment for sale in Turkey - Istanbul -  ????? - ??????? -,"$991,000 ",Istanbul, Turkey,Bedroom(s): 1 | Bathroom(s): 1,173 SQM,Unfurnished,1,No Data,https://olx.com.lb/ad/apartment-for-sale-in-turkey-istanbul-%D8%AA%D8%B1%D9%83%D9%8A%D8%A7-%D8%A7%D8%B3%D8%B7%D9%86%D8%A8%D9%88%D9%84-ID114348145.html
Apartment for sale in Turkey - Istanbul -  ????? - ??????? -,"$170,000 ",Istanbul, Turkey,Bedroom(s): 3 | Bathroom(s): 1,128 SQM,Unfurnished,1,No Data,https://olx.com.lb/ad/apartment-for-sale-in-turkey-istanbul-%D8%AA%D8%B1%D9%83%D9%8A%D8%A7-%D8%A7%D8%B3%D8%B7%D9%86%D8%A8%D9%88%D9%84-ID114347956.html
Apartment for sale in Turkey - Istanbul -  ????? - ??????? -,"$130,000 ",Istanbul, Turkey,Bedroom(s): 2 | Bathroom(s): 1,95 SQM,Unfurnished,1,No Data,https://olx.com.lb/ad/apartment-for-sale-in-turkey-istanbul-%D8%AA%D8%B1%D9%83%D9%8A%D8%A7-%D8%A7%D8%B3%D8%B7%D9%86%D8%A8%D9%88%D9%84-ID114347928.html
Apartment for sale in Turkey - Istanbul -  ????? - ??????? -,"$3,255,000 ",Istanbul, Turkey,Bedroom(s): 4 | Bathroom(s): 3,361 SQM,Unfurnished,1,No Data,https://olx.com.lb/ad/apartment-for-sale-in-turkey-istanbul-%D8%AA%D8%B1%D9%83%D9%8A%D8%A7-%D8%A7%D8%B3%D8%B7%D9%86%D8%A8%D9%88%D9%84-ID114347674.html
Apartment for sale in Turkey - Istanbul -  ????? - ??????? -,"$2,260,000 ",Istanbul, Turkey,Bedroom(s): 3 | Bathroom(s): 2,293 SQM,Unfurnished,1,No Data,https://olx.com.lb/ad/apartment-for-sale-in-turkey-istanbul-%D8%AA%D8%B1%D9%83%D9%8A%D8%A7-%D8%A7%D8%B3%D8%B7%D9%86%D8%A8%D9%88%D9%84-ID114347650.html
Apartment for sale in Turkey - Istanbul -  ????? - ??????? -,"$950,000 ",Istanbul, Turkey,Bedroom(s): 4 | Bathroom(s): 2,235 SQM,Unfurnished,1,No Data,https://olx.com.lb/ad/apartment-for-sale-in-turkey-istanbul-%D8%AA%D8%B1%D9%83%D9%8A%D8%A7-%D8%A7%D8%B3%D8%B7%D9%86%D8%A8%D9%88%D9%84-ID114347471.html
Apartment for sale in Turkey - Istanbul -  ????? - ??????? -,"$850,000 ",Istanbul, Turkey,Bedroom(s): 2 | Bathroom(s): 1,157 SQM,Unfurnished,1,No Data,https://olx.com.lb/ad/apartment-for-sale-in-turkey-istanbul-%D8%AA%D8%B1%D9%83%D9%8A%D8%A7-%D8%A7%D8%B3%D8%B7%D9%86%D8%A8%D9%88%D9%84-ID114347333.html
??? ????? ?? ?????? Apartment for sale at Zalka,"$190,000 ",Zalka, Metn,Bedroom(s): 3 | Bathroom(s): 4,165 SQM,Unfurnished,4,No Data,https://olx.com.lb/ad/%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D8%B2%D9%84%D9%82%D8%A7-apartment-for-sale-at-zalka-ID114900019.html
1050 Sqm | Under Construction Villa For Sale in Majdelyoun,"$700,000 ",Majdelyoun, Saida,Bedroom(s): 3 | Bathroom(s): 5,400 SQM,Unfurnished,No Data,No Data,https://olx.com.lb/ad/1050-sqm-under-construction-villa-for-sale-in-majdelyoun-ID114448400.html
Luxurious Villa Best deal in Tourzaya Jbeil | 800 Sqm | open mountain,"$900,000 ",Torzaya, Jbeil,Bedroom(s): 3 | Bathroom(s): 4,800 SQM,Unfurnished,No Data,"This property contains: Balcony, Central A/C & heating, Pets Allowed, Private Garden",https://olx.com.lb/ad/luxurious-villa-best-deal-in-tourzaya-jbeil-800-sqm-open-mountain-ID112828996.html
240 Sqm | Apartment in Ain Najm | Sea and Mountain view,"$325,000 ",Ain Najm, Metn,Bedroom(s): 3 | Bathroom(s): 4,240 SQM,Unfurnished,4,"This property contains: Balcony, Central A/C & heating, Covered Parking, Maids Room, Fireplace, Storage room",https://olx.com.lb/ad/240-sqm-apartment-in-ain-najm-sea-and-mountain-view-ID114743873.html
118 Sqm | Apartment for Sale in Byakout | Mountain View,"$90,000 ",Biaqout, Metn,Bedroom(s): 2 | Bathroom(s): 2,118 SQM,Unfurnished,5,"This property contains: Balcony, Pets Allowed",https://olx.com.lb/ad/118-sqm-apartment-for-sale-in-byakout-mountain-view-ID114652523.html
130 Sqm | Apartment for sale in Jal El Dib | Sea view,"$120,000 ",Jal El Dib, Metn,Bedroom(s): 2 | Bathroom(s): 2,130 SQM,Unfurnished,1,This property contains: Balcony,https://olx.com.lb/ad/130-sqm-apartment-for-sale-in-jal-el-dib-sea-view-ID114652436.html
200 sqm | Apartment for sale in Al Koura | Mountain view,"$75,000 ",Other in Koura, Koura,Bedroom(s): 3 | Bathroom(s): 3,200 SQM,Unfurnished,No Data,This property contains: Balcony,https://olx.com.lb/ad/200-sqm-apartment-for-sale-in-al-koura-mountain-view-ID114552184.html
83 Sqm  + 90 Sqm Terrace|  Furnished Apartment for Sale in Blat- Jbeil,"$120,000 ",Blat, Jbeil,Bedroom(s): 2 | Bathroom(s): 2,83 SQM,No Data,1,No Data,https://olx.com.lb/ad/83-sqm-90-sqm-terrace-furnished-apartment-for-sale-in-blat-jbeil-ID114538923.html
120Sqm|Apartment for sale Rachaya al Wadi/Dahr al Ahmar|Mountain view,"$65,000 ",Other in Rachaya, Rachaya,Bedroom(s): 2 | Bathroom(s): 2,120 SQM,Unfurnished,2,This property contains: Balcony,https://olx.com.lb/ad/120sqmapartment-for-sale-rachaya-al-wadidahr-al-ahmarmountain-view-ID114829929.html
200 sqm | Furnished Apartment for sale in Klayaat | Mountain view,"$125,000 ",Klayaat, Keserouan,Bedroom(s): 3 | Bathroom(s): 2,200 SQM,No Data,2,This property contains: Balcony,https://olx.com.lb/ad/200-sqm-furnished-apartment-for-sale-in-klayaat-mountain-view-ID114551855.html
130 Sqm| Apartment for sale in Rashaya al Wadi/Mountain view,"$88,000 ",Other in Rachaya, Rachaya,Bedroom(s): 2 | Bathroom(s): 2,130 SQM,Unfurnished,3,This property contains: Balcony,https://olx.com.lb/ad/130-sqm-apartment-for-sale-in-rashaya-al-wadimountain-view-ID114829913.html
125 sqm | Brand New Apartment for sale in Dbayeh | 3rd Floor,"$115,000 ",Dbaye, Metn,Bedroom(s): 2 | Bathroom(s): 2,125 SQM,Unfurnished,3,This property contains: Balcony,https://olx.com.lb/ad/125-sqm-brand-new-apartment-for-sale-in-dbayeh-3rd-floor-ID114554981.html
115 Sqm |Apartment for sale in Safra | Mountain view,"$70,000 ",Safra, Keserouan,Bedroom(s): 2 | Bathroom(s): 2,115 SQM,Unfurnished,1,This property contains: Balcony,https://olx.com.lb/ad/115-sqm-apartment-for-sale-in-safra-mountain-view-ID114238111.html
120 Sqm | Apartment for sale in Antelias | Mountain view,"$85,000 ",Antelias, Metn,Bedroom(s): 3 | Bathroom(s): 2,120 SQM,Unfurnished,1,This property contains: Balcony,https://olx.com.lb/ad/120-sqm-apartment-for-sale-in-antelias-mountain-view-ID114829802.html
120 Sqm | Fully Furnished & Decorated Apartment for Sale in Baabda,"$160,000 ",Baabda Town, Baabda,Bedroom(s): 2 | Bathroom(s): 2,120 SQM,No Data,3,"This property contains: Balcony, Pets Allowed",https://olx.com.lb/ad/120-sqm-fully-furnished-decorated-apartment-for-sale-in-baabda-ID114655844.html
175 Sqm + 100 Sqm Terrace | Brand New Duplex for Sale in Bsalim,"$550,000 ",Bsalim, Metn,Bedroom(s): 2 | Bathroom(s): 3,175 SQM,Unfurnished,4,"This property contains: Balcony, Pets Allowed",https://olx.com.lb/ad/175-sqm-100-sqm-terrace-brand-new-duplex-for-sale-in-bsalim-ID114555244.html
"Ain Saadeh Prime 300SQ SEA VIEW , ?????? ????? ?? ??? ?????","$299,000 ",Ain Saadeh, Metn,Bedroom(s): 5 | Bathroom(s): 5,300 SQM,Unfurnished,No Data,"This property contains: Balcony, Built in Kitchen Appliances, Central A/C & heating, Covered Parking, Maids Room, Pets Allowed, Security, Study, Walk-in Closet, Storage room",https://olx.com.lb/ad/ain-saadeh-prime-300sq-sea-view-%D8%AF%D9%88%D8%A8%D9%84%D9%83%D8%B3-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%B9%D9%8A%D9%86-%D8%B3%D8%B9%D8%A7%D8%AF%D9%87-ID114806216.html
"Ain Saadeh Prime WITH TERRACE (230SQ) , ??? ????? ?? ??? ?????","$210,000 ",Ain Saadeh, Metn,Bedroom(s): 3 | Bathroom(s): 4,235 SQM,Unfurnished,No Data,"This property contains: Balcony, Central A/C & heating, Maids Room, Pets Allowed, Private Garden, Security, Walk-in Closet",https://olx.com.lb/ad/ain-saadeh-prime-with-terrace-230sq-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%B9%D9%8A%D9%86-%D8%B3%D8%B9%D8%A7%D8%AF%D9%87-ID114511988.html
Full marina and sea view 2bd apartment for Sale,"$590,000 ",Dbaye, Metn,Bedroom(s): 2 | Bathroom(s): 4,180 SQM,No Data,No Data,"This property contains: Balcony, Built in Kitchen Appliances, Built in Wardrobes, Central A/C & heating, Covered Parking, Maids Room, Pets Allowed, Security",https://olx.com.lb/ad/full-marina-and-sea-view-2bd-apartment-for-sale-ID114193027.html
Mesmerizing 3 bedroom apartment of 169 Sqm for Sale at Waterfront city,"$440,000 ",Dbaye, Metn,Bedroom(s): 3 | Bathroom(s): 5,169 SQM,Unfurnished,No Data,"This property contains: Balcony, Central A/C & heating, Covered Parking, Security, Storage room",https://olx.com.lb/ad/mesmerizing-3-bedroom-apartment-of-169-sqm-for-sale-at-waterfront-city-ID114812811.html
Get ready to experience this Luxurious Villa for Sale in Mechref,"$1,800,000 ",Mechref, Chouf,Bedroom(s): 5 | Bathroom(s): 6,"1,200 SQM",No Data,No Data,No Data,https://olx.com.lb/ad/get-ready-to-experience-this-luxurious-villa-for-sale-in-mechref-ID114899982.html
R1086 Apartment for Sale in Manara,"$1,000,000 ",Manara, Beirut,Bedroom(s): 3 | Bathroom(s): 5,330 SQM,Unfurnished,1,"This property contains: Balcony, Central A/C & heating, Covered Parking, Maids Room, Pets Allowed, Shared Gym, Shared Pool, Elevator, Storage room",https://olx.com.lb/ad/r1086-apartment-for-sale-in-manara-ID114899972.html
??? ?????  ?? ????? ?? ??????? 120 ??? ???? ? 36 ??? ?????,"$36,000 ",Naameh, Chouf,Bedroom(s): 2 | Bathroom(s): 2,120 SQM,Unfurnished,No Data,No Data,https://olx.com.lb/ad/%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D9%86%D8%A7%D8%B9%D9%85%D8%A9-120-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%A8-36-%D8%A7%D9%84%D9%81-%D8%AF%D9%88%D9%84%D8%A7%D8%B1-ID114766356.html
??? ????? ?? ???? ????? 105 ??? ???? ? 100 ??? ?????,"$100,000 ",Tariq el Jdideh, Beirut,Bedroom(s): 2 | Bathroom(s): 1,105 SQM,Unfurnished,7,No Data,https://olx.com.lb/ad/%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%B7%D8%B1%D9%8A%D9%82-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-105-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%A8-100-%D8%A7%D9%84%D9%81-%D8%AF%D9%88%D9%84%D8%A7%D8%B1-ID114794390.html
??? ?? ?????? ????? ???? 170m² ?????? ? 235 ??? ?????,"$235,000 ",Damour, Chouf,Bedroom(s): 3 | Bathroom(s): 3,170 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/%D8%B4%D9%82%D8%A9-%D9%81%D9%8A-%D8%A8%D8%B9%D9%88%D8%B1%D8%AA%D8%A7-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%B9%D9%85%D8%A7%D8%B1-170m2-%D8%AF%D9%88%D8%A8%D9%84%D9%83%D8%B3-%D8%A8-235-%D8%A3%D9%84%D9%81-%D8%AF%D9%88%D9%84%D8%A7%D8%B1-ID114793513.html
??? ?? ??? ?????? ????? 96 ??? ???? ? 65 ??? ?????,"$65,000 ",Hazmiyeh, Baabda,Bedroom(s): 2 | Bathroom(s): 1,96 SQM,Unfurnished,2,No Data,https://olx.com.lb/ad/%D8%B4%D9%82%D8%A9-%D9%81%D9%8A-%D9%81%D8%B1%D9%86-%D8%A7%D9%84%D8%B4%D8%A8%D8%A7%D9%83-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-96-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%A8-65-%D8%A7%D9%84%D9%81-%D8%AF%D9%88%D9%84%D8%A7%D8%B1-ID114824619.html
??? ?? ???? ????? 140 ??? ???? ? 56 ??? ?????,"$56,000 ",Khaldeh, Aley,Bedroom(s): 3 | Bathroom(s): 2,140 SQM,Unfurnished,2,No Data,https://olx.com.lb/ad/%D8%B4%D9%82%D8%A9-%D9%81%D9%8A-%D8%AE%D9%84%D8%AF%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-140-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%A8-56-%D8%A7%D9%84%D9%81-%D8%AF%D9%88%D9%84%D8%A7%D8%B1-ID114824580.html
??? ?? ??????? ????? 155 ??? ???? ? 60 ??? ?????,"$60,000 ",Naameh, Chouf,Bedroom(s): 3 | Bathroom(s): 2,155 SQM,Unfurnished,1,No Data,https://olx.com.lb/ad/%D8%B4%D9%82%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%86%D8%A7%D8%B9%D9%85%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-155-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%A8-60-%D8%A7%D9%84%D9%81-%D8%AF%D9%88%D9%84%D8%A7%D8%B1-ID114814575.html
Ajaltoun 165m2 | 72m2 Garden | Luxury | Excellent Condition | View |,"$120,000 ",Ajaltoun, Keserouan,Bedroom(s): 3 | Bathroom(s): 2,165 SQM,Unfurnished,No Data,"This property contains: Balcony, Built in Kitchen Appliances, Central A/C & heating, Storage room",https://olx.com.lb/ad/ajaltoun-165m2-72m2-garden-luxury-excellent-condition-view-ID114776967.html
Ballouneh 280m2 TRIPLEX | Upgraded | Unique | Impressive View | Prime,"$280,000 ",Ballouneh, Keserouan,Bedroom(s): 4 | Bathroom(s): 4,280 SQM,Unfurnished,4,"This property contains: Balcony, Built in Kitchen Appliances, Central A/C & heating, Maids Room",https://olx.com.lb/ad/ballouneh-280m2-triplex-upgraded-unique-impressive-view-prime-ID114396204.html
????? ????? ??? ???? ?? ?????????  Mansourieh   ? ?  170 ??? ???,"$108,000 ",Mansourieh, Metn,Bedroom(s): 2 | Bathroom(s): 2,120 SQM,No Data,Basement,This property contains: Balcony,https://olx.com.lb/ad/%D8%A8%D8%AF%D8%A7%D8%B9%D9%8A-%D8%A7%D9%84%D8%B3%D9%81%D8%B1-%D8%B4%D9%82%D8%A9-%D9%81%D8%AE%D9%85%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D9%86%D8%B5%D9%88%D8%B1%D9%8A%D8%A9-mansourieh-%D9%85-%D9%85-170-%D8%B3%D8%B9%D8%B1-%D9%85%D8%BA%D8%B1-ID114576489.html
Apartment for sale in faitroun 100 SQM REF#CS32185,"$88,000 ",Faitroun, Keserouan,Bedroom(s): 3 | Bathroom(s): 2,100 SQM,Unfurnished,No Data,No Data,https://olx.com.lb/ad/apartment-for-sale-in-faitroun-100-sqm-refcs32185-ID114882914.html
Duplex for sale in Bsalim Metn #wv101037-?????? ????? ?? ??????? ?????,"$279,000 ",Bsalim, Metn,Bedroom(s): 2 | Bathroom(s): 2,157 SQM,Unfurnished,No Data,"This property contains: Balcony, Maids Room",https://olx.com.lb/ad/duplex-for-sale-in-bsalim-metn-wv101037-%D8%AF%D9%88%D8%A8%D9%84%D9%83%D8%B3-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A8%D8%B5%D8%A7%D9%84%D9%8A%D9%85-%D8%A7%D9%84%D9%85%D8%AA%D9%86-ID114098239.html
130 SQM Apartment in Mazraat Yachouh with Sea and Mountain View,"$99,000 ",Mazraat Yachouh, Metn,Bedroom(s): 3 | Bathroom(s): 2,130 SQM,Unfurnished,4,"This property contains: Balcony, Built in Kitchen Appliances, Central A/C & heating, Covered Parking",https://olx.com.lb/ad/130-sqm-apartment-in-mazraat-yachouh-with-sea-and-mountain-view-ID112761551.html
145 Sqm+120SqmTerrace&Garden| Apartment for sale in Dayshounieh,"$200,000 ",Daychounieh, Metn,Bedroom(s): 2 | Bathroom(s): 2,145 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/145-sqm120sqmterracegarden-apartment-for-sale-in-dayshounieh-ID114555063.html
145 Sqm |  Apartment for sale in Bsalim | Sea view,"$155,000 ",Bsalim, Metn,Bedroom(s): 3 | Bathroom(s): 3,145 SQM,Unfurnished,1,"This property contains: Balcony, Covered Parking",https://olx.com.lb/ad/145-sqm-apartment-for-sale-in-bsalim-sea-view-ID114554990.html
"200 Sqm | Brand new, Highly Decorated Apartment for sale in Byakout","$250,000 ",Biaqout, Metn,Bedroom(s): 3 | Bathroom(s): 3,200 SQM,Unfurnished,1,"This property contains: Balcony, Covered Parking",https://olx.com.lb/ad/200-sqm-brand-new-highly-decorated-apartment-for-sale-in-byakout-ID114554867.html
150 sqm | Luxurious Apartment for sale in Bsalim,"$170,000 ",Bsalim, Metn,Bedroom(s): 3 | Bathroom(s): 3,150 SQM,Unfurnished,2,This property contains: Balcony,https://olx.com.lb/ad/150-sqm-luxurious-apartment-for-sale-in-bsalim-ID114554100.html
210 Sqm | Fully decorated apartment for sale in Biyada,"$350,000 ",Biyada, Metn,Bedroom(s): 3 | Bathroom(s): 4,210 SQM,Unfurnished,3,"This property contains: Covered Parking, Maids Room",https://olx.com.lb/ad/210-sqm-fully-decorated-apartment-for-sale-in-biyada-ID114348502.html
220 Sqm | Furnished Apartment for sale in Adonis | Sea view,"$450,000 ",Adonis, Keserouan,Bedroom(s): 3 | Bathroom(s): 3,220 SQM,No Data,1,"This property contains: Balcony, Maids Room, Storage room",https://olx.com.lb/ad/220-sqm-furnished-apartment-for-sale-in-adonis-sea-view-ID114653171.html
R1097 Immense Apartment for Sale in Raouche,"$1,700,000 ",Rawche, Beirut,Bedroom(s): 4 | Bathroom(s): 6,550 SQM,Unfurnished,No Data,"This property contains: Balcony, Central A/C & heating, Covered Parking, Maids Room, Pets Allowed, Security, Shared Gym, Elevator, Storage room",https://olx.com.lb/ad/r1097-immense-apartment-for-sale-in-raouche-ID114899924.html
BEAUTIFUL APARTMENT IN ZAREOUN WITH 2 TERRACES! REF#SF71780,"$175,000 ",Douar, Metn,Bedroom(s): 3 | Bathroom(s): 3,128 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/beautiful-apartment-in-zareoun-with-2-terraces-refsf71780-ID114899922.html
Apartment 175 sqm for sale in Nakabet al atibaa! REF#TB51951,"$145,000 ",Other in Tripoli, Tripoli,Bedroom(s): 3 | Bathroom(s): 2,175 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/apartment-175-sqm-for-sale-in-nakabet-al-atibaa-reftb51951-ID114899919.html
135 Sqm | Apartment for Sale in Sin El Fil | City View,"$80,000 ",Sin El Fil, Metn,Bedroom(s): 2 | Bathroom(s): 1,135 SQM,Unfurnished,3,"This property contains: Balcony, Pets Allowed",https://olx.com.lb/ad/135-sqm-apartment-for-sale-in-sin-el-fil-city-view-ID114551696.html
200Sqm + 120 Sqm Terrace & Garden |Apartment in Qornet el Hamra,"$350,000 ",Qornet El Hamra, Metn,Bedroom(s): 3 | Bathroom(s): 4,200 SQM,No Data,Basement,"This property contains: Built in Kitchen Appliances, Covered Parking, Maids Room",https://olx.com.lb/ad/200sqm-120-sqm-terrace-garden-apartment-in-qornet-el-hamra-ID114448556.html
160 Sqm |Fully furnished apartment for sale in Maameltein,"$300,000 ",Maameltein, Keserouan,Bedroom(s): 3 | Bathroom(s): 3,160 SQM,No Data,3,"This property contains: Balcony, Covered Parking",https://olx.com.lb/ad/160-sqm-fully-furnished-apartment-for-sale-in-maameltein-ID114234231.html
125 sqm | Apartment for sale in Baouchriyeh | City view,"$125,000 ",Baouchriye, Metn,Bedroom(s): 2 | Bathroom(s): 2,125 SQM,Unfurnished,7,This property contains: Balcony,https://olx.com.lb/ad/125-sqm-apartment-for-sale-in-baouchriyeh-city-view-ID114555647.html
350 Sqm + 300 Terrace | Deluxe Apartment for Sale in Ballouneh,"$500,000 ",Ballouneh, Keserouan,Bedroom(s): 4 | Bathroom(s): 5,350 SQM,Unfurnished,Basement,This property contains: Maids Room,https://olx.com.lb/ad/350-sqm-300-terrace-deluxe-apartment-for-sale-in-ballouneh-ID114551577.html
140 Sqm | Apartment for Sale in Sad EL Bauchrieh,"$77,000 ",Sad El Baouchriyeh, Metn,Bedroom(s): 2 | Bathroom(s): 2,140 SQM,Unfurnished,2,"This property contains: Balcony, Maids Room",https://olx.com.lb/ad/140-sqm-apartment-for-sale-in-sad-el-bauchrieh-ID114514951.html
87 Sqm 2nd floor apartment in Bouar | sea view,"$70,000 ",Bouar, Keserouan,Bedroom(s): 2 | Bathroom(s): 2,87 SQM,Unfurnished,2,This property contains: Balcony,https://olx.com.lb/ad/87-sqm-2nd-floor-apartment-in-bouar-sea-view-ID114652905.html
865 Sqm |  Under Construction  Villa For Sale in Fetre | Mountain View,"$350,000 ",Jbeil Town, Jbeil,Bedroom(s): 6 | Bathroom(s): 5,865 SQM,Unfurnished,No Data,No Data,https://olx.com.lb/ad/865-sqm-under-construction-villa-for-sale-in-fetre-mountain-view-ID114448539.html
250 Sqm|Super deluxe apartment Sahel Alma| Mountain and sea view,"$410,000 ",Sahel Alma, Keserouan,Bedroom(s): 3 | Bathroom(s): 2,250 SQM,Unfurnished,3,"This property contains: Balcony, Maids Room, Shared Gym",https://olx.com.lb/ad/250-sqmsuper-deluxe-apartment-sahel-alma-mountain-and-sea-view-ID114091126.html
400 Sqm + 160 Sqm Terrace |  Decorated Apartment for sale in Bsalim,"$550,000 ",Bsalim, Metn,Bedroom(s): 3 | Bathroom(s): 5,400 SQM,Unfurnished,1,"This property contains: Balcony, Maids Room",https://olx.com.lb/ad/400-sqm-160-sqm-terrace-decorated-apartment-for-sale-in-bsalim-ID114743830.html
240 SQM Duplex in Oyoun Broumana with Breathtaking Mountain View,"$185,000 ",Broummana, Metn,Bedroom(s): 3 | Bathroom(s): 4,240 SQM,Unfurnished,3,"This property contains: Balcony, Central A/C & heating, Covered Parking, Storage room",https://olx.com.lb/ad/240-sqm-duplex-in-oyoun-broumana-with-breathtaking-mountain-view-ID114656473.html
"Brand New Apartment in Sabtieh, Metn","$93,000 ",Sabtieh, Metn,Bedroom(s): 2 | Bathroom(s): 2,110 SQM,Unfurnished,1,"This property contains: Balcony, Central A/C & heating, Covered Parking, Storage room",https://olx.com.lb/ad/brand-new-apartment-in-sabtieh-metn-ID114656046.html
